"星期一,8:55-9:35,校/班(队)会 康燕丽"
"星期一,9:45-10:25,美术 何俊"
"星期一,10:40-11:20,语文 康燕丽"
"星期一,11:30-12:10,英语口语 刘玉霞"
"星期一,14:30-15:10,语文 康燕丽"
"星期一,15:20-16:00,道法 康燕丽"
"星期二,8:55-9:35,语文 康燕丽"
"星期二,9:45-10:25,语文 康燕丽"
"星期二,10:40-11:20,英语口语 刘玉霞"
"星期二,11:30-12:10,数学 洪林华"
"星期二,14:30-15:10,体育与健康1 张添龙"
"星期二,15:20-16:00,美术 何俊"
"星期三,8:55-9:35,语文 康燕丽"
"星期三,9:45-10:25,道法 康燕丽"
"星期三,10:40-11:20,音乐 谢莹"
"星期三,11:30-12:10,心理 康燕丽"
"星期三,14:30-15:10,数学 洪林华"
"星期三,15:20-16:00,体育与健康1 张添龙"
"星期四,8:55-9:35,体育与健康1 张添龙"
"星期四,9:45-10:25,综合 康燕丽"
"星期四,10:40-11:20,语文 康燕丽"
"星期四,11:30-12:10,语文 康燕丽"
"星期四,14:30-15:10,语文 康燕丽"
"星期四,15:20-16:00,(无课程)"
"星期五,8:55-9:35,语文 康燕丽"
"星期五,9:45-10:25,体育与健康1 张添龙"
"星期五,10:40-11:20,音乐 谢莹""星期五,11:30-12:10,劳动 康燕丽"
"星期五,14:30-15:10,科学 洪林华"
"星期五,15:20-16:00,(无课程)"
